Bitcoin,BTC
Ethereum,ETH
Tether,USDT
"USD Coin",USDC
BNB,BNB
"Binance USD",BUSD
XRP,XRP
Cardano,ADA
Solana,SOL
Polkadot,DOT
Dogecoin,DOGE
Avalanche,AVAX
Dai,DAI
Polygon,MATIC
"Shiba Inu",SHIB
TRON,TRX
Uniswap,UNI
"Wrapped Bitcoin",WBTC
"Ethereum Classic",ETC
"UNUS SED LEO",LEO
Litecoin,LTC
Chainlink,LINK
"FTX Token",FTT
"NEAR Protocol",NEAR
Cronos,CRO
Cosmos,ATOM
Stellar,XLM
Flow,FLOW
Monero,XMR
"Bitcoin Cash",BCH
Algorand,ALGO
VeChain,VET
ApeCoin,APE
Filecoin,FIL
"Internet Computer",ICP
Decentraland,MANA
"The Sandbox",SAND
Tezos,XTZ
Hedera,HBAR
"Theta Network",THETA
Quant,QNT
"Axie Infinity",AXS
Elrond,EGLD
Aave,AAVE
TrueUSD,TUSD
EOS,EOS
Zcash,ZEC
"Bitcoin SV",BSV
OKB,OKB
Maker,MKR
Helium,HNT
"KuCoin Token",KCS
"The Graph",GRT
"Pax Dollar",USDP
Fantom,FTM
IOTA,MIOTA
"BitTorrent-New",BTT
THORChain,RUNE
Chiliz,CHZ
Klaytn,KLAY
eCash,XEC
Neo,NEO
USDD,USDD
"Neutrino USD",USDN
"Lido DAO",LDO
"Curve DAO Token",CRV
"Basic Attention Token",BAT
"Huobi Token",HT
Waves,WAVES
Stacks,STX
PancakeSwap,CAKE
"PAX Gold",PAXG
"Enjin Coin",ENJ
Loopring,LRC
Mina,MINA
STEPN,GMT
Dash,DASH
Zilliqa,ZIL
Kava,KAVA
"Oasis Network",ROSE
Kusama,KSM
Decred,DCR
Celo,CELO
"Bitcoin Gold",BTG
Arweave,AR
"Convex Finance",CVX
"1inch Network",1INCH
"Trust Wallet Token",TWT
Celsius,CEL
NEM,XEM
Nexo,NEXO
Synthetix,SNX
Holo,HOT
Compound,COMP
"Fei USD",FEI
Gnosis,GNO
Qtum,QTUM
Gala,GALA
"yearn.finance",YFI
"XDC Network",XDC
Optimism,OP
Kadena,KDA
GateToken,GT
Ravencoin,RVN
"Reserve Rights",RSR
Amp,AMP
IoTeX,IOTX
BORA,BORA
"Theta Fuel",TFUEL
Harmony,ONE
"Ethereum Name Service",ENS
"OMG Network",OMG
Symbol,XYM
Ankr,ANKR
ICON,ICX
Audius,AUDIO
0x,ZRX
TerraClassicUSD,USTC
JUST,JST
Livepeer,LPT
"Kyber Network Crystal v2",KNC
IOST,IOST
"WOO Network",WOO
Golem,GLM
"Immutable X",IMX
Horizen,ZEN
Hive,HIVE
Serum,SRM
Balancer,BAL
Storj,STORJ
Moonbeam,GLMR
WAX,WAXP
Ontology,ONT
"SKALE Network",SKL
Siacoin,SC
"Bitcoin Standard Hashrate Token",BTCST
SXP,SXP
"Gemini Dollar",GUSD
DigiByte,DGB
Chia,XCH
Polymath,POLY
UMA,UMA
"Smooth Love Potion",SLP
Braintrust,BTRST
Casper,CSPR
Secret,SCRT
SwissBorg,CHSB
"CEEK VR",CEEK
PlayDapp,PLA
SushiSwap,SUSHI
"Render Token",RNDR
"Dogelon Mars",ELON
MXC,MXC
Ren,REN
APENFT,NFT
ConstitutionDAO,PEOPLE
"Pundi X (New)",PUNDIX
"Nervos Network",CKB
"Keep Network",KEEP
Flux,FLUX
"Celer Network",CELR
Civic,CVC
"Spell Token",SPELL
dYdX,DYDX
"Acala Token",ACA
Lisk,LSK
MediBloc,MED
Constellation,DAG
"Ocean Protocol",OCEAN
"DAO Maker",DAO
Nano,XNO
NuCypher,NU
Ellipsis,EPS
"Ontology Gas",ONG
Rally,RLY
Request,REQ
WINkLink,WIN
Orbs,ORBS
COTI,COTI
Bancor,BNT
Conflux,CFX
Syscoin,SYS
Chromia,CHR
"Function X",FX
"MX TOKEN",MX
Powerledger,POWR
Numeraire,NMR
JOE,JOE
Prom,PROM
Dent,DENT
XYO,XYO
"Frax Share",FXS
Status,SNT
API3,API3
sUSD,SUSD
Ardor,ARDR
Biconomy,BICO
Raydium,RAY
Adshares,ADS
Ultra,UOS
